"OFFICE","YEAR","QUARTER","CATEGORY","YTD","AMOUNT"
"CLERK OF THE HOUSE","FISCAL YEAR 2009","2009Q3","PRINTING AND REPRODUCTION","80.00","80.00"
"COMMUNICATIONS","FISCAL YEAR 2009","2009Q3","OTHER SERVICES","61,171.98","25,907.61"
"COMMUNICATIONS","FISCAL YEAR 2009","2009Q3","SUPPLIES AND MATERIALS","8,065.36","649.48"
"COMMUNICATIONS","FISCAL YEAR 2009","2009Q3","EQUIPMENT","276,699.04","242,321.22"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2009","2009Q3","PERSONNEL COMPENSATION","643,521.04","223,042.08"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2009","2009Q3","PERSONNEL COMPENSATION","3,568,489.45","1,115,682.15"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2009","2009Q3","PERSONNEL BENEFITS","5,341.62","0.00"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2009","2009Q3","TRAVEL","55,326.64","16,187.09"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2009","2009Q3","RENT, COMMUNICATION, UTILITIES","13,530.31","1,099.31"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2009","2009Q3","PRINTING AND REPRODUCTION","22,551.74","7,797.85"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2009","2009Q3","OTHER SERVICES","95,870.01","23,544.00"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2009","2009Q3","SUPPLIES AND MATERIALS","251,682.69","63,036.76"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2009","2009Q3","EQUIPMENT","2,956.98","0.00"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2009","2009Q3","SUPPLIES AND MATERIALS","24,737.89","135.00"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2009","2009Q3","PERSONNEL COMPENSATION","253,824.99","125,625.00"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2009","2009Q3","PERSONNEL COMPENSATION","2,079,387.56","596,097.72"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2009","2009Q3","PERSONNEL BENEFITS","1,919.10","0.00"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2009","2009Q3","TRAVEL","1,708.43","109.00"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2009","2009Q3","RENT, COMMUNICATION, UTILITIES","705.88","-513.07"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2009","2009Q3","PRINTING AND REPRODUCTION","3,296.60","795.00"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2009","2009Q3","OTHER SERVICES","477.20","95.18"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2009","2009Q3","SUPPLIES AND MATERIALS","66,700.22","19,867.98"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2009","2009Q3","EQUIPMENT","177.74","0.00"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2009","2009Q3","PERSONNEL BENEFITS","9,999.96","2,499.99"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2009","2009Q3","PERSONNEL COMPENSATION","1,135,852.68","311,111.07"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2009","2009Q3","PERSONNEL COMPENSATION","1,619,819.53","485,071.61"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2009","2009Q3","PERSONNEL BENEFITS","1,958.72","0.00"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2009","2009Q3","TRAVEL","12,115.13","3,438.00"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2009","2009Q3","RENT, COMMUNICATION, UTILITIES","6,744.22","675.47"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2009","2009Q3","PRINTING AND REPRODUCTION","5,358.17","128.70"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2009","2009Q3","OTHER SERVICES","4,172.29","395.00"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2009","2009Q3","SUPPLIES AND MATERIALS","162,291.33","84,973.26"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2009","2009Q3","PERSONNEL BENEFITS","9,999.96","2,499.99"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2009","2009Q3","PERSONNEL COMPENSATION","164,333.32","41,250.00"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2009","2009Q3","PERSONNEL COMPENSATION","1,341,312.91","335,152.77"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2009","2009Q3","PERSONNEL BENEFITS","1,492.85","0.00"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2009","2009Q3","TRAVEL","6,572.89","3,570.63"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2009","2009Q3","RENT, COMMUNICATION, UTILITIES","687.62","252.30"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2009","2009Q3","PRINTING AND REPRODUCTION","693.32","324.72"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2009","2009Q3","OTHER SERVICES","1,999.66","1,583.17"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2009","2009Q3","SUPPLIES AND MATERIALS","72,652.03","18,684.90"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2009","2009Q3","PERSONNEL COMPENSATION","143,476.35","85,799.01"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2009","2009Q3","PERSONNEL COMPENSATION","1,285,271.96","343,758.33"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2009","2009Q3","PERSONNEL BENEFITS","2,059.15","0.00"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2009","2009Q3","TRAVEL","3,210.33","2,032.26"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2009","2009Q3","RENT, COMMUNICATION, UTILITIES","4,879.76","703.53"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2009","2009Q3","PRINTING AND REPRODUCTION","6,251.32","397.91"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2009","2009Q3","OTHER SERVICES","6,120.00","0.00"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2009","2009Q3","SUPPLIES AND MATERIALS","129,271.05","65,397.40"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2009","2009Q3","EQUIPMENT","2,363.92","448.94"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2009","2009Q3","PERSONNEL BENEFITS","1,249.98","0.00"
